[2026-04-14 16:09:12 TP0] Prefill batch, #new-seq: 1, #new-token: 80, #cached-token: 0, full token usage: 0.00, mamba usage: 0.01, #running-req: 0, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1.85
[2026-04-14 16:27:22 TP0] Prefill batch, #new-seq: 1, #new-token: 17, #cached-token: 0, full token usage: 0.00, mamba usage: 0.01, #running-req: 0, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 0.02
[2026-04-14 16:27:22 TP0] Decode batch, #running-req: 1, #full token: 50, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 0.04, #queue-req: 0
[2026-04-14 16:27:39 TP0] Decode batch, #running-req: 1, #full token: 1330, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 75.71, #queue-req: 0
[2026-04-14 16:27:39 TP0] Decode batch, #running-req: 1, #full token: 1370, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 74.53, #queue-req: 0
[2026-04-14 16:27:40 TP0] Decode batch, #running-req: 1, #full token: 1410, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 74.60, #queue-req: 0
[2026-04-14 16:27:40 TP0] Decode batch, #running-req: 1, #full token: 1450, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 74.19, #queue-req: 0
[2026-04-14 16:27:41 TP0] Decode batch, #running-req: 1, #full token: 1490, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.75, #queue-req: 0
[2026-04-14 16:27:41 TP0] Decode batch, #running-req: 1, #full token: 1530, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.39, #queue-req: 0
[2026-04-14 16:27:42 TP0] Decode batch, #running-req: 1, #full token: 1570, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 78.01, #queue-req: 0
[2026-04-14 16:27:43 TP0] Decode batch, #running-req: 1, #full token: 1610, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 78.54, #queue-req: 0
[2026-04-14 16:27:43 TP0] Decode batch, #running-req: 1, #full token: 1650, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 78.50, #queue-req: 0
[2026-04-14 16:27:44 TP0] Decode batch, #running-req: 1, #full token: 1690, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.43, #queue-req: 0
[2026-04-14 16:27:44 TP0] Decode batch, #running-req: 1, #full token: 1730, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.31, #queue-req: 0
[2026-04-14 16:27:45 TP0] Decode batch, #running-req: 1, #full token: 1770, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.27, #queue-req: 0
[2026-04-14 16:27:45 TP0] Decode batch, #running-req: 1, #full token: 1810, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.72, #queue-req: 0
[2026-04-14 16:27:46 TP0] Decode batch, #running-req: 1, #full token: 1850, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 75.97, #queue-req: 0
[2026-04-14 16:27:46 TP0] Decode batch, #running-req: 1, #full token: 1890, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.38, #queue-req: 0
[2026-04-14 16:27:47 TP0] Decode batch, #running-req: 1, #full token: 1930, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 79.04, #queue-req: 0
[2026-04-14 16:27:47 TP0] Decode batch, #running-req: 1, #full token: 1970, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 78.10, #queue-req: 0
[2026-04-14 16:27:48 TP0] Decode batch, #running-req: 1, #full token: 2010, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.78, #queue-req: 0
[2026-04-14 16:27:48 TP0] Decode batch, #running-req: 1, #full token: 2050, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.21, #queue-req: 0
[2026-04-14 16:27:49 TP0] Decode batch, #running-req: 1, #full token: 2090, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.86, #queue-req: 0
[2026-04-14 16:27:49 TP0] Decode batch, #running-req: 1, #full token: 2130, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 74.98, #queue-req: 0
[2026-04-14 16:27:50 TP0] Decode batch, #running-req: 1, #full token: 2170, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.99, #queue-req: 0
[2026-04-14 16:27:50 TP0] Decode batch, #running-req: 1, #full token: 2210, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.06, #queue-req: 0
[2026-04-14 16:27:51 TP0] Decode batch, #running-req: 1, #full token: 2250, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 75.88, #queue-req: 0
[2026-04-14 16:27:51 TP0] Decode batch, #running-req: 1, #full token: 2290, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.72, #queue-req: 0
[2026-04-14 16:27:52 TP0] Decode batch, #running-req: 1, #full token: 2330, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.62, #queue-req: 0
[2026-04-14 16:27:52 TP0] Decode batch, #running-req: 1, #full token: 2370, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.57, #queue-req: 0
[2026-04-14 16:27:53 TP0] Decode batch, #running-req: 1, #full token: 2410, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.79, #queue-req: 0
[2026-04-14 16:27:53 TP0] Decode batch, #running-req: 1, #full token: 2450, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 78.08, #queue-req: 0
[2026-04-14 16:27:54 TP0] Decode batch, #running-req: 1, #full token: 2490, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.24, #queue-req: 0
[2026-04-14 16:27:54 TP0] Decode batch, #running-req: 1, #full token: 2530, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.68, #queue-req: 0
[2026-04-14 16:27:55 TP0] Decode batch, #running-req: 1, #full token: 2570, full token usage: 0.01, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.97, #queue-req: 0
[2026-04-14 16:35:39 TP0] Prefill batch, #new-seq: 1, #new-token: 14, #cached-token: 0, full token usage: 0.00, mamba usage: 0.01, #running-req: 0, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 0.03
[2026-04-14 16:35:39 TP0] Decode batch, #running-req: 1, #full token: 45, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 0.09, #queue-req: 0
[2026-04-14 16:35:40 TP0] Decode batch, #running-req: 1, #full token: 85, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 75.53, #queue-req: 0
[2026-04-14 16:35:40 TP0] Decode batch, #running-req: 1, #full token: 125, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 75.58, #queue-req: 0
[2026-04-14 16:35:41 TP0] Decode batch, #running-req: 1, #full token: 165, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.01, #queue-req: 0
[2026-04-14 16:35:41 TP0] Decode batch, #running-req: 1, #full token: 205, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.07, #queue-req: 0
[2026-04-14 16:35:42 TP0] Decode batch, #running-req: 1, #full token: 245, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 75.69, #queue-req: 0
[2026-04-14 16:35:42 TP0] Decode batch, #running-req: 1, #full token: 285, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 75.99, #queue-req: 0
[2026-04-14 16:35:43 TP0] Decode batch, #running-req: 1, #full token: 325, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 74.63, #queue-req: 0
